author_name	author_date	author_gender	author_viaf	title	novel_id	first_edition	num_word	size	time_slot	canonicity
Beniczkyné Bajza Lenke	1839-1905	F	20466121	Saját kezébe	HU13653	1886	26678	short	T3	low
Beniczkyné Bajza Lenke	1839-1905	F	20466121	Végzetes tévedés	HU07737	1904	76854	medium	T4	low
Beöthy László	1826-1857	M	121409411	Goldbach és Comp. fűszerkereskedése "A kék macskához" : Regény : ELTeC edition	HU07661	1858	56456	medium	T1	high
Beöthy László	1826-1857	M	121409411	Két leány és egy legény : Regény : ELTeC edition	HU13445	1895	29473	short	T3	low
Beöthy Zsolt	1791-1860	M	73093732	Kálozdy Béla : Regény : ELTeC edition	HU07718	1875	149978	long	T2	low
Bérczy Károly	1821-1867	M	2191181	A gyógyult seb	HU09814	1880	19733	short	T3	low
Berde Mária	1889-1949	F	34816228	Keresztjáró Szerelem	HU21494	1941	54074	medium	T6	low
Berkes Imre	1878-1949	M	34816228	Egy perc az élet	HU20500	1926	36881	short	T5	low
Boross Mihály	1815-1899	M	121430064	Vagy idejében vagy soha	HU16361	1856	14135	short	T1	low
Bozzay Margit	1893-1942	F	17636989	A hadifogoly	HU16557	1935	11603	short	T5	low
Bródy Sándor	1863-1924	M	49267921	A Rózsák szigete	HU08876	1894	22353	short	T3	low
Bródy Sándor	1863-1924	M	49267921	Az egri diákok : Két magyar Robinson története	HU16501	1894	31061	short	T3	low
Bródy Sándor	1863-1924	M	49267921	Az ezüst kecske : ELTeC edition	HU00628	1898	47696	short	T3	high
Bródy Sándor	1863-1924	M	49267921	Don Quixote kisasszony	HU07450	1886	66880	medium	T3	low
Bródy Sándor	1863-1924	M	49267921	Egy rossz asszony természetrajza: Erkölcsrajz	HU07380	1904	23051	short	T4	low
Bródy Sándor	1863-1924	M	49267921	Erzsébet dajka és más cselédek	HU13978	1902	19697	short	T4	low
Bródy Sándor	1863-1924	M	49267921	Faust orvos	HU14199	1888	28237	short	T3	low
Bródy Sándor	1863-1924	M	49267921	Hófehérke	HU12661	1894	19426	short	T3	low
Bródy Sándor	1863-1924	M	49267921	Tündér Ilona	HU13909	1898	23974	short	T3	low
Cholnoky László	1879-1929	M	35255524	Piroska : ELTeC edition	HU05964	1919	166120	long	T4	low
Cholnoky Viktor	1868-1912	M	3367709	Kaleidoszkop : ELTeC edition	HU07119	1913	48819	short	T4	low
Czinczár Miklós	1893-1945	M	121529786	Menekülés	HU03830	1935	24818	short	T5	low
Czóbel Minka	1855-1947	F	1344243	Hafia	HU17770	1891	12290	short	T3	low
Czóbel Minka	1855-1947	F	1344243	Két arany hajszál : Regény : ELTeC edition	HU17653	1908	36053	short	T4	low
Csermely Gyula	1866-1939	M	34184463	Bakunin professzor könyve	HU16517	1923	86310	medium	T5	low
Cserzy Mihály	1865-1925	M	121363466	Kint a pusztán	HU06962	1899	34759	short	T3	low
Csiky Gergely	1842-1891	M	54198282	Sisyphus munkája : Regény : ELTeC edition	HU14125	1892	26684	short	T3	low
Dánielné Lengyel Laura	1874-1954	F	25652215	A boldogság útja	HU08719	1904	43371	short	T4	low
Dánielné Lengyel Laura	1874-1954	F	25652215	A császár udvarában	HU08463	1933	44105	short	T5	low
Dánielné Lengyel Laura	1874-1954	F	25652215	Hágár a pusztában	HU08666	1940	37293	short	T5	low
Dánielné Lengyel Laura	1874-1954	F	25652215	Medici Lőrincné a Hattyú-utcában	HU09644	1924	28586	short	T5	low
Dánielné Lengyel Laura	1874-1954	F	25652215	Rolandné	HU08553	1925	40631	short	T5	low
Degré Alajos	1819–1896	M	25034532	A száműzött leánya : Regény : ELTeC edition	HU07693	1861	54332	medium	T2	low
Degré Alajos	1819-1896	M	25034532	Az elzárt gyámleány	HU16343	1894	29250	short	T3	low
Donászy Ferenc	1864-1923	M	1657716	Anarkalli	HU12296	1896	48005	short	T3	low
Donászy Ferenc	1864-1923	M	1657716	Buda hőse	HU00639	1895	99241	medium	T3	high
Donászy Ferenc	1864–1923	M	1657716	Eger bástyái	HU11615	1943	25838	short	T6	low
Donászy Ferenc	1864–1923	M	1657716	Életünket és vérünket!	HU12207	1898	71428	medium	T3	low
Donászy Ferenc	1864-1923	M	1657716	Őserdőkön, tengereken	HU11968	1894	125772	long	T3	low
Drasche-Lázár Alfréd	1875-1949	M	23173124	Azaldár	HU20519	1925	16154	short	T5	low
Dugonics András	1740-1818	M	15639984	Cserei, egy honvári herceg	HU09002	1808	36979	short	T0	low
Eötvös József	1813-1871	M	64044769	A falu jegyzője : ELTeC edition	HU00642	1845	206761	long	T1	high
Eötvös József	1813-1871	M	64044769	A karthauzi : ELTeC edition	HU03130	1842	127812	long	T1	high
Eötvös József	1813-1871	M	44663835	A nővérek	HU05046	1857	120199	long	T1	low
Eötvös József	1813-1871	M	64044769	Magyarország 1514-ben : Regény : ELTeC edition	HU04774	1847	201018	long	T1	high
Eötvös Károly	1842-1916	M	184888089	A Bakony	HU16344	1909	123386	long	T4	low
Eötvös Károly	1842-1916	M	23022753	Aki örökké bújdosott	HU08078	1910	44644	short	T4	high
Eötvös Károly	1842-1916	M	184888089	A nazarénusok	HU00645	1904	62822	medium	T4	low
Fáy András	1786-1864	M	17278550	Jávor orvos és szolgája, Bakator Ambrus: Szeszélyes regény: ELTeC edition	HU08163	1855	52587	medium	T1	low
Forró Pál	1884-1942	M	107985695	A kínos botrány	HU14858	1932	10251	short	T5	low
Forró Pál	1884-1942	M	107985695	A próbakisasszony	HU15184	1936	11021	short	T5	low
Forró Pál	1884-1942	M	107985695	A szélhámos	HU15314	1935	10678	short	T5	low
Forró Pál	1884-1942	M	107985695	A szörnyű felfedezés	HU15417	1934	10335	short	T5	low
Forró Pál	1884-1942	M	107985695	A végrendelet	HU15309	1935	10649	short	T5	low
Forró Pál	1884-1942	M	107985695	Borotvaélen	HU15168	1936	10730	short	T5	low
Forró Pál	1884-1942	M	107985695	Egy asszony lemond	HU15231	1936	11003	short	T5	low
Forró Pál	1884-1942	M	107985695	Egy asszony megszökik	HU15159	1936	10979	short	T5	low
Forró Pál	1884-1942	M	107985695	Férficsere	HU15224	1936	10730	short	T5	low
Forró Pál	1884-1942	M	107985695	Fizet a múlt	HU15534	1934	10500	short	T5	low
Forró Pál	1884-1942	M	107985695	Fogat fogért	HU16554	1935	10717	short	T5	low
Forró Pál	1884-1942	M	107985695	Gyilkosság a Youkon mellett	HU15330	1935	11093	short	T5	low
Forró Pál	1884-1942	M	107985695	Ha mindenki megszépülne	HU15768	1928	48897	short	T5	low
Forró Pál	1884-1942	M	107985695	Két asszony álarcban	HU15482	1934	10122	short	T5	low
Forró Pál	1884-1942	M	107985695	Kvittek vagyunk...	HU14905	1933	10599	short	T5	low
Forró Pál	1884-1942	M	107985695	Leszámolás	HU14852	1932	10244	short	T5	low
Forró Pál	1884-1942	M	107985695	Nizzai kaland	HU14841	1932	10626	short	T5	low
Forró Pál	1884-1942	M	107985695	Őfensége nősül	HU16334	1935	11163	short	T5	low
Forró Pál	1884-1942	M	107985695	Őnagysága, a betörő	HU14757	1932	10197	short	T5	low
Forró Pál	1884-1942	M	107985695	Párbaj a szerelemmel	HU16508	1935	10415	short	T5	low
Forró Pál	1884-1942	M	107985695	Péter két asszonya	HU15710	1935	10778	short	T5	low
Forró Pál	1884-1942	M	107985695	Silvia két táncosa	HU14881	1932	10020	short	T5	low
Forró Pál	1884-1942	M	107985695	Tisztítótűz	HU15123	1936	10507	short	T5	low
Forró Pál	1884-1942	M	107985695	Trópusi történet	HU15378	1934	10530	short	T5	low
Gaál József	1811-1866	M	54538863	Szirmay Ilona	HU07543	1836	53532	medium	T0	low
Gaál Mózes	1863-1936	M	65665747	A bujdosó király	HU10884	1928	19230	short	T5	high
Gaál Mózes	1863–1936	M	65665747	A fekete apostol	HU11611	1924	31906	short	T5	low
Gaál Mózes	1863–1936	M	65665747	A három kenyeres-pajtás	HU12502	1904	19111	short	T4	low
Gaál Mózes	1863–1936	M	65665747	A legkisebb leány	HU12557	1897	36201	short	T3	low
Gaál Mózes	1863-1936	M	65665747	A vasember fia	HU11833	1902	20800	short	T4	low
Gaál Mózes	1863-1936	M	65665747	Az utolsó lantos	HU10837	1886	27480	short	T3	low
Gaál Mózes	1863-1936	M	65665747	Hűséges mind a sírig	HU11642	1902	36422	short	T4	high
Gárdonyi Géza	1863-1922	M	24643507	Ábel és Eszter	HU01998	1907	39368	short	T4	high
Gárdonyi Géza	1863-1922	M	24643507	Aggyisten Biri!	HU05062	1916	26299	long	T4	high
Gárdonyi Géza	1863-1922	M	24643507	A kapitány	HU04533	1926	28234	short	T5	low
Gárdonyi Géza	1863-1922	M	24643507	A kürt	HU05397	1925	29698	short	T5	high
Gárdonyi Géza	1863-1922	M	24643507	A lámpás : Regény : ELTeC edition	HU06982	1895	14590	short	T3	high
Gárdonyi Géza	1863-1922	M	24643507	A láthatatlan ember : Történelmi regény : ELTeC edition	HU00662	1901	76646	medium	T4	high
Gárdonyi Géza	1863-1922	M	24643507	Amiket az útleíró elhallgat	HU04546	1927	33166	short	T5	low
Gárdonyi Géza	1863-1922	M	24643507	A pesti úr	HU08035	1901	14159	short	T4	high
Gárdonyi Géza	1863-1922	M	24643507	Átkozott józanság	HU06178	1895	40275	short	T4	low
Gárdonyi Géza	1863-1922	M	24643507	A világjáró angol	HU11047	1894	24280	short	T3	low
Gárdonyi Géza	1863-1922	M	24643507	Az a hatalmas harmadik	HU04506	1903	29514	short	T4	high
Gárdonyi Géza	1863-1922	M	24643507	Az én falum	HU00657	1898	64506	medium	T3	high
Gárdonyi Géza	1866-1922	M	24643507	Az öreg tekintetes	HU01820_1	1905	24949	short	T4	high
Gárdonyi Géza	1863-1922	M	24643507	Bibi	HU04484	1927	44577	short	T5	low
Gárdonyi Géza	1863-1922	M	24643507	Bojgás az világba	HU05712	1901	11279	short	T3	high
Gárdonyi Géza	1863-1922	M	24643507	Dávidkáné	HU05360	1898	21224	short	T3	high
Gárdonyi Géza	1863-1922	M	24643507	Durbints sógor	HU05759	1899	11454	short	T3	high
Gárdonyi Géza	1863-1922	M	24643507	Egri csillagok: Bornemissza Gergely élete: ELTeC edition	HU13387	1901	138886	long	T4	high
Gárdonyi Géza	1863-1922	M	24643507	Göre Martsa lakodalma	HU05711	1897	12054	short	T3	high
Gárdonyi Géza	1863-1922	M	24643507	Hosszúhajú veszedelem	HU00658	1912	100299	long	T4	high
Gárdonyi Géza	1863-1922	M	24643507	Ida regénye	HU00659	1924	86725	medium	T5	high
Gárdonyi Géza	1863-1922	M	24643507	Isten rabjai	HU00661	1899	92543	medium	T3	high
Gárdonyi Géza	1863-1922	M	24643507	Julcsa kútja	HU05438	1929	17078	short	T5	high
Gárdonyi Géza	1863-1922	M	24643507	Kátsa	HU05710	1899	12298	short	T3	high
Gárdonyi Géza	1863-1922	M	24643507	Ki-ki párjával	HU01820	1923	35359	short	T5	low
Gárdonyi Géza	1863-1922	M	24643507	Leánynézőben	HU05408	1925	10720	short	T5	high
Gárdonyi Géza	1863-1922	M	24643507	Pöhölyék	HU05963	1895	23502	short	T3	low
Gárdonyi Géza	1863-1922	M	24643507	Szunyoghy miatyánkja	HU04489	1916	58283	medium	T4	high
Gárdonyi Géza	1863-1922	M	24643507	Te, Berkenye!	HU05297	1928	25338	short	T5	high
Gelléri Andor	1906-1945	M	46887514	A nagymosoda	HU15131	1931	35358	short	T5	low
Gineverné Győry Ilona	1868-1926	F	162793967	Angolok	HU18677	1915	56876	medium	T4	low
Gozsdu Elek	1849-1919	M	52610012	Köd :  Regény  : ELTeC edition	HU18535	1882	45870	short	T3	low
Gróh István	1867–1936	M	48753172	Nóbel Árpád kalandjai	HU14622	1912	62559	medium	T4	low
Gulácsy Irén	1894-1945	F	15182160	A kállói kapitány	HU17939	1934	113118	long	T5	low
Gulácsy Irén	1894-1945	F	121415149	Fekete vőlegények	HU16564	1927	154933	long	T5	high
Gulácsy Irén	1894-1945	F	15182160	Förgeteg	HU17657	1925	62827	medium	T5	high
Gulácsy Irén	1894-1945	F	121415149	Hamueső	HU15035	1925	44815	short	T5	high
Gulácsy Irén	1894-1945	F	15182160	Jezabel	HU16846	1944	176472	long	T6	high
Gulácsy Irén	1894-1945	F	121415149	Nagy Lajos király	HU16266	1936	180109	long	T5	high
Gyulai Pál	1826-1909	M	59092543	Egy régi udvarház utolsó gazdája	HU00666	1857	22682	short	T1	high
Harsányi Kálmán	1876-1929	M	61288996	A kristálynézők	HU15343	1914	71495	medium	T4	high
Harsányi Zsolt	1887–1943	M	76335271	A tündérkirálynő	HU13602	1934	47435	short	T5	low
Harsányi Zsolt	1887–1943	M	76335271	Az aranyalma	HU14288	1942	182685	long	T6	low
Harsányi Zsolt	1887–1943	M	76335271	Az arany holló	HU13673	1925	46159	short	T5	high
Harsányi Zsolt	1887–1943	M	76335271	Csak azért is	HU13679	1933	44818	short	T5	low
Harsányi Zsolt	1887–1943	M	76335271	Édes fiam	HU13861	1935	35767	short	T5	low
Harsányi Zsolt	1887–1943	M	76335271	Életre-halálra	HU13834_1	1931	24173	short	T5	low
Harsányi Zsolt	1887–1943	M	76335271	Galgó három felesége	HU13975	1944	84436	medium	T6	low
Harsányi Zsolt	1887–1943	M	76335271	Liline	HU14155	1937	25588	short	T5	low
Harsányi Zsolt	1887–1943	M	76335271	Magdolna	HU14242	1938	253738	long	T5	low
Harsányi Zsolt	1887-1943	M	61561938	Mátyás király	HU02151	1932	91056	medium	T5	high
Harsányi Zsolt	1887–1943	M	76335271	René	HU13834_2	1931	23810	short	T5	low
Harsányi Zsolt	1887–1943	M	76335271	Rozmaring	HU14641	1929	52769	medium	T5	low
Harsányi Zsolt	1887–1943	M	76335271	Shakespeare a Nyújorkban	HU13976	1918	31248	short	T4	low
Harsányi Zsolt	1887–1943	M	76335271	Szegény János	HU13868	1939	108003	long	T5	low
Harsányi Zsolt	1887–1943	M	76335271	Whisky szódával	HU14046	1942	186355	long	T6	low
Havas István	1887–1943	M	262538357	Az opálgyűrű	HU24820_1	1924	19358	short	T5	low
Herczeg Ferenc	1863-1954	M	55013830	A fogyó hold	HU04251	1922	28608	short	T5	high
Herczeg Ferenc	1863-1954	M	55013830	Az élet kapuja	HU02523	1920	24499	short	T4	high
Herczeg Ferenc	1863-1954	M	55013830	Simon Zsuzsa	HU05179	1894	34233	short	T3	low
Herman Ottóné	1856-1916	F	53161612	Kisvárosiak: Regény: ELTeC edition	HU14564	1897	27035	short	T3	low
Heves András	1901–1940	M	46937768	Irén	HU09108	1938	40014	short	T5	high
Heves András	1901–1940	M	46937768	Párizsi eső	HU09109	1936	32289	short	T5	high
Hock János	1859-1936	M	90833943	Rákóczi Ferencné	HU10186	1907	47541	short	T4	low
Hrabovszky M. Júlia	1858-1946	F	43657511	A porczellán-comtessek	HU18791	1900	52429	medium	T4	low
Hunyady Sándor	1890-1942	M	44340816	Családi album	HU018595	1934	53538	medium	T5	high
Hunyady Sándor	1890-1942	M	44340816	Szerelmes unokatestvérek	HU15336	1942	10289	short	T7	low
Hunyady Sándor	1890-1942	M	44340816	Téli sport	HU18630	1934	13865	short	T6	low
Iványi Ödön	1854-1893	M	121533820	A püspök atyafisága	HU07728	1889	95490	medium	T3	low
Jókai Mór	1825-1904	M	59084200	A barátfalvi lévita	HU00785	1898	33757	short	T3	low
Jókai Mór	1825-1904	M	59084200	Ahol a pénz nem isten	HU00778	1918	39996	short	T4	high
Jókai Mór	1825-1904	M	59084200	A kétszarvú ember : ELTeC edition	HU02204	1852	32893	short	T1	high
Jókai Mór	1825-1904	M	59084200	Aki a szívét a homlokán hordja	HU00811	1889	25645	short	T3	high
Jókai Mór	1825-1904	M	59084200	Aki holta után áll bosszút	HU11437_2	1887	13794	short	T3	low
Jókai Mór	1825-1904	M	59084200	A Kráó	HU18047	1895	26064	short	T3	low
Jókai Mór	1825-1904	M	59084200	A lőcsei fehér asszony	HU00696	1884	132945	long	T3	high
Jókai Mór	1825-1904	M	59084200	A Magláy-család	HU11437_1	1887	11230	short	T3	low
Jókai Mór	1825-1904	M	59084200	Asszonyt kísér - Istent kísért	HU16276_2	1881	34061	short	T3	low
Jókai Mór	1825-1904	M	59084200	Az arany ember	HU00688	1872	146269	long	T2	high
Jókai Mór	1825-1904	M	59084200	Börtön virága	HU08117	1912	37522	short	T4	low
Jókai Mór	1825-1904	M	59084200	Egy magyar nábob : 1853-54 : ELTeC edition	HU05572	1854	139820	long	T1	high
Jókai Mór	1825-1904	M	59084200	És mégis mozog a föld : ELTeC edition	HU05573	1873	285818	long	T2	high
Jókai Mór	1825-1904	M	59084200	Fekete gyémántok	HU00691	1870	125130	long	T2	high
Jókai Mór	1825-1904	M	59084200	Kárpáthy Zoltán	HU00828	1854	126642	long	T1	high
Jókai Mór	1825-1904	M	59084200	Lenczi fráter	HU11662	1888	22557	short	T3	low
Jókai Mór	1825-1904	M	59084200	Magnéta	HU15731	1895	21652	short	T3	low
Jókai Mór	1825-1904	M	59084200	Névtelen vár	HU00697	1877	134775	long	T2	high
Jókai Mór	1825-1904	M	59084200	Páter Péter	HU16276_1	1881	38599	short	T3	low
Jókai Mór	1825-1904	M	59084200	Tégy jót	HU00702	1914	37325	short	T3	high
Jósika Júlia	1813-1893	F	46218998	Az élet esélyei: Regény: ELTeC edition	HU17873	1864	28349	short	T2	low
Jósika Júlia	1813-1893	F	46218998	Családélet	HU18964	1862	56940	medium	T2	low
Jósika Júlia	1813-1893	F	46218998	Konrád	HU17910	1872	38707	short	T2	low
Jósika Miklós	1794-1865	M	19720475	Abafi : ELTeC edition	HU03850	1836	55435	medium	T0	high
Jósika Miklós	1794-1865	M	19720475	A szegedi boszorkányok	HU10855	1854	76348	medium	T1	low
Jósika Miklós	1794-1865	M	19720475	Eszther	HU10019	1853	82422	medium	T1	low
Jósika Miklós	1794-1865	M	1972047	II. Rákóczi Ferencz : 1852 : ELTeC edition	HU10230	1852	238192	long	T1	unspecified
Jósika Miklós	1794-1865	M	19720475	Zrínyi Miklós a költő	HU08323	1857	71347	medium	T1	low
Juhász Lajos	1903-1945	M	121522984	A koronatanú	HU15042	1936	11196	short	T5	low
Juhász Lajos	1903-1945	M	121522984	A Moabit szökevényei	HU15161	1936	10995	short	T5	low
Juhász Lajos	1903-1945	M	121522984	A piros vonal	HU14993	1935	10205	short	T5	low
Juhász Lajos	1903-1945	M	121522984	Kerülő úton	HU14994	1936	10749	short	T5	low
Juhász Lajos	1903-1945	M	121522984	Ostrom az aranyvár ellen	HU14948	1936	10328	short	T5	low
Juhász Lajos	1903-1945	M	121522984	Szumatra tigrise	HU18956	1942	25186	short	T6	low
Kabos Ede	1864-1923	M	51003824	A jövő fészke : ELTeC edition	HU17048	1908	53753	medium	T4	low
Kabos Ede	1864-1923	M	51003824	Fehér éjszakák	HU16539	1893	19620	short	T3	low
Kabos Ede	1864-1923	M	51003824	Két halott regénye	HU13952	1902	25378	short	T4	low
Kada Elek	1852-1913	M	121449348	A darázs mérge	HU16355	1893	19404	short	T3	low
Kaffka Margit	1880-1918	F	19708135	Állomások	HU05909_1	1917	110569	long	T4	high
Kaffka Margit	1880-1918	F	19708135	Hangyaboly	HU02061	1917	38707	short	T4	high
Kaffka Margit	1880-1918	F	19708135	Két nyár	HU05909_2	1916	17546	short	T4	low
Kaffka Margit	1880-1918	F	19708135	Mária évei	HU05909	1913	43787	short	T4	high
Kaffka Margit	1880-1918	F	19708135	Színek és évek : ELTeC edition	HU02028	1911	62913	medium	T4	high
Kálnoki Izidor	1863–1930	M	78891016	Dionysios füle	HU21519	1902	32974	short	T4	low
Kánya Emília	1830-1905	F	30410778	Szeretet könyve : ELTeC edition	HU17999	1863	60532	medium	T2	low
Kánya Emília	1830–1905	F	30410778	Válságos napok	HU18993	1860	74428	medium	T2	low
Karácsony Benő	1888-1944	M	819395	A megnyugvás ösvényein	HU14420	1943	81707	medium	T6	high
Karácsony Benő	1888-1944	M	819395	Pjotruska	HU00713	1927	86622	medium	T5	high
Karácsony Benő	1888-1944	M	819395	Új élet kapujában	HU03882	1932	80623	medium	T5	low
Karácsony Benő	1888-1944	M	819395	Utazás a szürke folyón	HU03573	1940	101259	long	T6	low
Karácsony Sándor	1891-1952	M	32801716	A Siccki-banda	HU25020	1938	29157	short	5	low
Karinthy Frigyes	1887-1938	M	46762994	Kötéltánc	HU06983	1923	42708	short	T5	high
Karinthy Frigyes	1887-1938	M	46762994	Tanár úr kérem : ELTeC edition	HU00719	1916	17484	short	T4	high
Karinthy Frigyes	1887-1938	M	46762994	Utazás a koponyám körül	HU00717	1937	45827	short	T5	high
Karinthy Frigyes	1887-1938	M	46762994	Utazás Faremidóba - Gulliver ötödik útja	HU00721	1916	11930	short	T4	high
Kármán József	1769-1795	M	55016260	Fanni hagyományai	HU00722	1875	12101	short	T2	high
Kazár Emil	1843-1922	M	121415469	A szivárvány	HU16317	1889	27536	short	T3	low
Kazinczy Ferenc	1759-1831	M	9867747	Bácsmegyeinek gyötrelmei : ELTeC edition	HU00726	1814	20772	short	T2	low
Kelmenfy László	1815-1851	M	121426252	Meghasonlott kedély	HU19006	1846	68494	medium	T1	low
Kemény Zsigmond	1814-1875	M	54141095	A szív örvényei : Kisregények és elbeszélések : ELTeC edition	HU08105	1854	28161	short	T1	low
Kemény Zsigmond	1814-1875	M	54141095	Gyulai Pál : Regény : ELTeC edition	HU05510	1847	184038	long	T1	high
Kemény Zsigmond	1814-1875	M	54141095	Ködképek a kedély láthatárán : ELTeC edition	HU04642	1853	50401	medium	T1	low
